Cheyenne County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,49.0,5.8
198902,35.5,-9.8
198903,55.6,-0.6
198904,68.6,4.2
198905,74.6,0.8
198906,79.2,-6.3
198907,90.1,-0.8
198908,85.4,-2.8
198909,77.1,-3.6
198910,69.7,2.4
198911,57.6,3.9
198912,38.8,-4.3
199001,46.0,2.8
199002,41.6,-3.7
199003,54.2,-2.0
199004,64.7,0.3
199005,69.7,-4.1
199006,89.4,3.9
199007,88.3,-2.6
199008,87.9,-0.3
199009,83.6,2.9
199010,68.4,1.1
199011,56.6,2.9
199012,37.2,-5.9
199101,38.4,-4.8
199102,57.0,11.7
199103,55.8,-0.4
199104,63.7,-0.7
199105,74.7,0.9
199106,86.1,0.6
199107,88.4,-2.5
199108,86.5,-1.7
199109,80.3,-0.4
199110,68.2,0.9
199111,46.0,-7.7
199112,44.8,1.7
199201,40.3,-2.9
199202,51.8,6.5
199203,58.1,1.9
199204,67.6,3.2
199205,76.3,2.5
199206,78.6,-6.9
199207,84.6,-6.3
199208,81.3,-6.9
199209,80.6,-0.1
199210,68.3,1.0
199211,44.2,-9.5
199212,35.0,-8.1
199301,32.2,-11.0
199302,34.1,-11.2
199303,51.9,-4.3
199304,59.3,-5.1
199305,72.2,-1.6
199306,82.3,-3.2
199307,85.6,-5.3
199308,83.9,-4.3
199309,73.4,-7.3
199310,64.9,-2.4
199311,46.4,-7.3
199312,45.9,2.8
199401,42.7,-0.5
199402,38.4,-6.9
199403,60.1,3.9
199404,64.8,0.4
199405,78.6,4.8
199406,89.6,4.1
199407,88.8,-2.1
199408,90.9,2.7
199409,83.0,2.3
199410,67.7,0.4
199411,49.5,-4.2
199412,45.9,2.8
199501,43.9,0.7
199502,52.1,6.8
199503,52.9,-3.3
199504,58.2,-6.2
199505,62.3,-11.5
199506,80.8,-4.7
199507,89.6,-1.3
199508,93.6,5.4
199509,78.3,-2.4
199510,66.0,-1.3
199511,56.8,3.1
199512,46.8,3.7
199601,39.7,-3.5
199602,50.6,5.3
199603,49.8,-6.4
199604,67.1,2.7
199605,70.5,-3.3
199606,84.7,-0.8
199607,87.2,-3.7
199608,84.8,-3.4
199609,74.0,-6.7
199610,68.2,0.9
199611,48.0,-5.7
199612,45.5,2.4
199701,40.4,-2.8
199702,43.6,-1.7
199703,60.0,3.8
199704,57.7,-6.7
199705,73.4,-0.4
199706,84.6,-0.9
199707,91.2,0.3
199708,85.6,-2.6
199709,81.0,0.3
199710,66.4,-0.9
199711,49.6,-4.1
199712,39.3,-3.8
199801,43.4,0.2
199802,47.1,1.8
199803,49.9,-6.3
199804,62.6,-1.8
199805,78.2,4.4
199806,83.2,-2.3
199807,90.1,-0.8
199808,87.7,-0.5
199809,85.8,5.1
199810,66.4,-0.9
199811,54.2,0.5
199812,44.8,1.7
199901,47.2,4.0
199902,57.4,12.1
199903,56.6,0.4
199904,59.8,-4.6
199905,73.1,-0.7
199906,82.5,-3.0
199907,92.7,1.8
199908,87.3,-0.9
199909,75.8,-4.9
199910,70.2,2.9
199911,63.0,9.3
199912,49.4,6.3
200001,45.7,2.5
200002,54.5,9.2
200003,55.0,-1.2
200004,68.7,4.3
200005,78.2,4.4
200006,85.8,0.3
200007,93.2,2.3
200008,94.8,6.6
200009,82.9,2.2
200010,68.4,1.1
200011,42.8,-10.9
200012,38.9,-4.2
200101,43.6,0.4
200102,37.6,-7.7
200103,51.1,-5.1
200104,67.4,3.0
200105,74.0,0.2
200106,86.6,1.1
200107,94.6,3.7
200108,91.9,3.7
200109,80.6,-0.1
200110,69.3,2.0
200111,59.0,5.3
200112,46.8,3.7
200201,46.3,3.1
200202,49.4,4.1
200203,48.9,-7.3
200204,68.2,3.8
200205,73.8,0.0
200206,92.6,7.1
200207,95.2,4.3
200208,89.8,1.6
200209,79.8,-0.9
200210,60.6,-6.7
200211,51.8,-1.9
200212,49.5,6.4
200301,46.8,3.6
200302,40.5,-4.8
200303,55.9,-0.3
200304,66.2,1.8
200305,72.6,-1.2
200306,81.3,-4.2
200307,96.6,5.7
200308,92.5,4.3
200309,79.9,-0.8
200310,74.9,7.6
200311,51.1,-2.6
200312,47.3,4.2
200401,44.8,1.6
200402,44.7,-0.6
200403,61.9,5.7
200404,66.4,2.0
200405,78.5,4.7
200406,81.9,-3.6
200407,86.0,-4.9
200408,84.7,-3.5
200409,83.0,2.3
200410,66.9,-0.4
200411,49.8,-3.9
200412,46.4,3.3
200501,40.5,-2.7
200502,50.8,5.5
200503,56.0,-0.2
200504,64.1,-0.3
200505,75.2,1.4
200506,84.4,-1.1
200507,93.4,2.5
200508,88.2,0.0
200509,84.6,3.9
200510,68.6,1.3
200511,59.1,5.4
200512,42.2,-0.9
200601,53.8,10.6
200602,47.1,1.8
200603,53.8,-2.4
200604,71.0,6.6
200605,79.6,5.8
200606,89.2,3.7
200607,93.3,2.4
200608,88.1,-0.1
200609,74.4,-6.3
200610,64.4,-2.9
200611,55.7,2.0
200612,43.4,0.3
200701,29.6,-13.6
200702,35.6,-9.7
200703,62.2,6.0
200704,59.9,-4.5
200705,76.8,3.0
200706,84.3,-1.2
200707,91.7,0.8
200708,91.4,3.2
200709,83.4,2.7
200710,69.8,2.5
200711,58.4,4.7
200712,35.7,-7.4
200801,38.2,-5.0
200802,45.1,-0.2
200803,55.6,-0.6
200804,61.9,-2.5
200805,73.2,-0.6
200806,85.1,-0.4
200807,94.0,3.1
200808,84.6,-3.6
200809,78.7,-2.0
200810,67.0,-0.3
200811,56.1,2.4
200812,41.2,-1.9
200901,45.9,2.7
200902,52.4,7.1
200903,57.1,0.9
200904,60.8,-3.6
200905,72.8,-1.0
200906,81.0,-4.5
200907,86.5,-4.4
200908,86.3,-1.9
200909,75.8,-4.9
200910,54.6,-12.7
200911,57.2,3.5
200912,34.9,-8.2
201001,42.7,-0.5
201002,40.3,-5.0
201003,54.8,-1.4
201004,65.7,1.3
201005,70.2,-3.6
201006,86.2,0.7
201007,90.8,-0.1
201008,90.6,2.4
201009,83.8,3.1
201010,71.9,4.6
201011,53.6,-0.1
201012,46.8,3.7
201101,41.3,-1.9
201102,41.5,-3.8
201103,55.1,-1.1
201104,64.6,0.2
201105,70.9,-2.9
201106,85.7,0.2
201107,94.1,3.2
201108,91.8,3.6
201109,78.2,-2.5
201110,69.3,2.0
201111,55.5,1.8
201112,42.7,-0.4
201201,49.8,6.6
201202,44.5,-0.8
201203,68.1,11.9
201204,69.8,5.4
201205,80.1,6.3
201206,94.2,8.7
201207,97.8,6.9
201208,91.6,3.4
201209,83.4,2.7
201210,65.5,-1.8
201211,61.7,8.0
201212,44.1,1.0
201301,43.7,0.5
201302,45.0,-0.3
201303,52.2,-4.0
201304,58.7,-5.7
201305,75.2,1.4
201306,89.4,3.9
201307,89.4,-1.5
201308,89.8,1.6
201309,83.8,3.1
201310,64.1,-3.2
201311,52.6,-1.1
201312,43.4,0.3
201401,45.0,1.8
201402,35.9,-9.4
201403,56.2,0.0
201404,65.4,1.0
201405,74.6,0.8
201406,83.6,-1.9
201407,88.8,-2.1
201408,89.6,1.4
201409,79.9,-0.8
201410,71.8,4.5
201411,52.4,-1.3
201412,42.6,-0.5
201501,43.9,0.7
201502,48.0,2.7
201503,62.0,5.8
201504,66.7,2.3
201505,69.0,-4.8
201506,86.1,0.6
201507,90.4,-0.5
201508,89.5,1.3
201509,87.0,6.3
201510,69.8,2.5
201511,53.2,-0.5
201512,43.5,0.4
201601,44.9,1.7
201602,50.2,4.9
201603,61.9,5.7
201604,64.5,0.1
201605,70.6,-3.2
201606,90.2,4.7
201607,90.9,0.0
201608,86.3,-1.9
201609,81.5,0.8
201610,74.8,7.5
201611,61.2,7.5
201612,40.4,-2.7
201701,39.2,-4.0
201702,55.1,9.8
201703,62.8,6.6
201704,64.7,0.3
201705,72.6,-1.2
201706,87.1,1.6
201707,92.2,1.3
201708,84.5,-3.7
201709,81.1,0.4
201710,67.0,-0.3
201711,57.6,3.9
201712,44.3,1.2
201801,44.7,1.5
201802,41.7,-3.6
201803,59.6,3.4
201804,60.9,-3.5
201805,78.2,4.4
201806,89.5,4.0
201807,89.6,-1.3
201808,86.5,-1.7
201809,81.7,1.0
201810,61.2,-6.1
201811,50.1,-3.6
201812,45.1,2.0
201901,45.0,1.8
201902,36.5,-8.8
201903,48.5,-7.7
201904,68.0,3.6
201905,66.7,-7.1
201906,83.8,-1.7
201907,92.1,1.2
201908,87.6,-0.6
201909,86.0,5.3
201910,62.1,-5.2
201911,53.8,0.1
