Cheyenne County, Kansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,17.4,0.2
198902,11.9,-7.5
198903,24.5,-3.2
198904,35.2,-0.3
198905,47.2,1.0
198906,52.9,-3.3
198907,61.8,-0.4
198908,60.1,-0.2
198909,49.5,-1.4
198910,36.2,-1.5
198911,25.7,-0.5
198912,12.4,-5.1
199001,18.1,0.9
199002,20.9,1.5
199003,29.6,1.9
199004,37.7,2.2
199005,44.4,-1.8
199006,57.8,1.6
199007,61.0,-1.2
199008,59.3,-1.0
199009,53.2,2.3
199010,37.5,-0.2
199011,28.1,1.9
199012,12.7,-4.8
199101,13.7,-3.5
199102,22.3,2.9
199103,28.6,0.9
199104,37.6,2.1
199105,49.9,3.7
199106,59.7,3.5
199107,61.5,-0.7
199108,60.3,0.0
199109,49.7,-1.2
199110,35.7,-2.0
199111,23.8,-2.4
199112,22.2,4.7
199201,19.3,2.1
199202,28.1,8.7
199203,30.7,3.0
199204,37.4,1.9
199205,46.4,0.2
199206,54.6,-1.6
199207,59.4,-2.8
199208,57.0,-3.3
199209,49.7,-1.2
199210,37.6,-0.1
199211,24.1,-2.1
199212,13.4,-4.1
199301,13.1,-4.1
199302,13.5,-5.9
199303,28.6,0.9
199304,35.1,-0.4
199305,47.1,0.9
199306,53.1,-3.1
199307,60.6,-1.6
199308,59.4,-0.9
199309,45.4,-5.5
199310,37.1,-0.6
199311,20.7,-5.5
199312,20.6,3.1
199401,16.7,-0.5
199402,12.9,-6.5
199403,28.6,0.9
199404,35.7,0.2
199405,49.8,3.6
199406,58.8,2.6
199407,58.4,-3.8
199408,60.6,0.3
199409,50.8,-0.1
199410,40.0,2.3
199411,26.4,0.2
199412,22.3,4.8
199501,18.7,1.5
199502,24.4,5.0
199503,26.7,-1.0
199504,32.4,-3.1
199505,43.3,-2.9
199506,53.8,-2.4
199507,59.6,-2.6
199508,62.5,2.2
199509,49.7,-1.2
199510,35.5,-2.2
199511,26.7,0.5
199512,17.8,0.3
199601,12.3,-4.9
199602,17.6,-1.8
199603,21.2,-6.5
199604,33.8,-1.7
199605,48.2,2.0
199606,56.8,0.6
199607,61.8,-0.4
199608,59.9,-0.4
199609,49.9,-1.0
199610,36.9,-0.8
199611,22.5,-3.7
199612,15.6,-1.9
199701,13.7,-3.5
199702,19.4,0.0
199703,27.8,0.1
199704,31.0,-4.5
199705,44.0,-2.2
199706,56.4,0.2
199707,61.5,-0.7
199708,60.4,0.1
199709,52.9,2.0
199710,38.2,0.5
199711,25.3,-0.9
199712,21.8,4.3
199801,19.9,2.7
199802,27.4,8.0
199803,25.3,-2.4
199804,33.4,-2.1
199805,48.3,2.1
199806,52.3,-3.9
199807,63.9,1.7
199808,60.6,0.3
199809,55.1,4.2
199810,39.5,1.8
199811,31.8,5.6
199812,17.4,-0.1
199901,19.7,2.5
199902,23.1,3.7
199903,28.2,0.5
199904,35.2,-0.3
199905,45.7,-0.5
199906,55.6,-0.6
199907,64.2,2.0
199908,60.9,0.6
199909,47.2,-3.7
199910,36.2,-1.5
199911,29.5,3.3
199912,22.6,5.1
200001,19.8,2.6
200002,24.0,4.6
200003,30.2,2.5
200004,33.6,-1.9
200005,47.8,1.6
200006,54.0,-2.2
200007,62.7,0.5
200008,62.0,1.7
200009,49.8,-1.1
200010,39.9,2.2
200011,20.5,-5.7
200012,14.7,-2.8
200101,18.9,1.7
200102,20.0,0.6
200103,29.0,1.3
200104,37.1,1.6
200105,47.5,1.3
200106,55.5,-0.7
200107,65.5,3.3
200108,60.7,0.4
200109,50.9,0.0
200110,37.0,-0.7
200111,28.3,2.1
200112,20.2,2.7
200201,17.6,0.4
200202,19.1,-0.3
200203,19.9,-7.8
200204,36.3,0.8
200205,43.7,-2.5
200206,60.7,4.5
200207,64.1,1.9
200208,61.1,0.8
200209,51.2,0.3
200210,35.0,-2.7
200211,28.0,1.8
200212,20.9,3.4
200301,19.3,2.1
200302,16.6,-2.8
200303,28.6,0.9
200304,38.2,2.7
200305,47.7,1.5
200306,53.9,-2.3
200307,62.9,0.7
200308,62.1,1.8
200309,48.0,-2.9
200310,39.6,1.9
200311,25.7,-0.5
200312,18.7,1.2
200401,17.1,-0.1
200402,18.9,-0.5
200403,31.1,3.4
200404,35.4,-0.1
200405,47.3,1.1
200406,53.4,-2.8
200407,59.3,-2.9
200408,55.8,-4.5
200409,52.7,1.8
200410,40.8,3.1
200411,28.5,2.3
200412,20.7,3.2
200501,19.4,2.2
200502,24.2,4.8
200503,28.3,0.6
200504,35.5,0.0
200505,45.0,-1.2
200506,57.1,0.9
200507,61.9,-0.3
200508,60.4,0.1
200509,53.2,2.3
200510,38.6,0.9
200511,29.5,3.3
200512,18.0,0.5
200601,24.2,7.0
200602,17.7,-1.7
200603,26.9,-0.8
200604,36.5,1.0
200605,46.0,-0.2
200606,58.5,2.3
200607,64.6,2.4
200608,61.3,1.0
200609,45.1,-5.8
200610,37.2,-0.5
200611,26.3,0.1
200612,19.1,1.6
200701,8.6,-8.6
200702,16.3,-3.1
200703,34.3,6.6
200704,35.7,0.2
200705,48.9,2.7
200706,56.0,-0.2
200707,63.2,1.0
200708,64.0,3.7
200709,52.4,1.5
200710,39.8,2.1
200711,25.2,-1.0
200712,13.4,-4.1
200801,13.9,-3.3
200802,19.5,0.1
200803,27.0,-0.7
200804,32.8,-2.7
200805,43.6,-2.6
200806,53.6,-2.6
200807,61.6,-0.6
200808,61.4,1.1
200809,49.0,-1.9
200810,38.9,1.2
200811,29.4,3.2
200812,13.7,-3.8
200901,19.2,2.0
200902,22.0,2.6
200903,25.1,-2.6
200904,35.2,-0.3
200905,47.8,1.6
200906,55.8,-0.4
200907,60.3,-1.9
200908,58.0,-2.3
200909,49.7,-1.2
200910,32.6,-5.1
200911,29.5,3.3
200912,12.0,-5.5
201001,17.4,0.2
201002,17.7,-1.7
201003,27.9,0.2
201004,37.4,1.9
201005,43.0,-3.2
201006,57.7,1.5
201007,62.9,0.7
201008,61.6,1.3
201009,50.0,-0.9
201010,38.9,1.2
201011,24.8,-1.4
201012,18.2,0.7
201101,14.3,-2.9
201102,12.8,-6.6
201103,26.7,-1.0
201104,36.0,0.5
201105,42.5,-3.7
201106,55.7,-0.5
201107,64.9,2.7
201108,62.6,2.3
201109,47.2,-3.7
201110,38.2,0.5
201111,24.6,-1.6
201112,17.5,0.0
201201,18.3,1.1
201202,20.2,0.8
201203,33.0,5.3
201204,41.5,6.0
201205,46.5,0.3
201206,59.5,3.3
201207,64.5,2.3
201208,58.4,-1.9
201209,48.8,-2.1
201210,35.7,-2.0
201211,25.1,-1.1
201212,14.6,-2.9
201301,15.6,-1.6
201302,18.5,-0.9
201303,23.4,-4.3
201304,30.2,-5.3
201305,46.1,-0.1
201306,55.4,-0.8
201307,61.2,-1.0
201308,62.1,1.8
201309,56.0,5.1
201310,37.5,-0.2
201311,25.6,-0.6
201312,13.8,-3.7
201401,16.6,-0.6
201402,14.2,-5.2
201403,26.3,-1.4
201404,36.4,0.9
201405,45.5,-0.7
201406,56.2,0.0
201407,61.5,-0.7
201408,60.5,0.2
201409,52.5,1.6
201410,39.6,1.9
201411,21.8,-4.4
201412,18.3,0.8
201501,18.2,1.0
201502,20.2,0.8
201503,29.1,1.4
201504,37.2,1.7
201505,46.3,0.1
201506,59.0,2.8
201507,61.8,-0.4
201508,59.2,-1.1
201509,55.6,4.7
201510,42.8,5.1
201511,27.4,1.2
201512,22.0,4.5
201601,18.6,1.4
201602,25.1,5.7
201603,29.8,2.1
201604,36.6,1.1
201605,45.3,-0.9
201606,58.9,2.7
201607,63.2,1.0
201608,58.3,-2.0
201609,51.5,0.6
201610,39.5,1.8
201611,30.1,3.9
201612,13.0,-4.5
201701,17.5,0.3
201702,24.7,5.3
201703,30.3,2.6
201704,38.9,3.4
201705,45.3,-0.9
201706,56.8,0.6
201707,63.5,1.3
201708,58.0,-2.3
201709,51.0,0.1
201710,38.0,0.3
201711,29.4,3.2
201712,16.8,-0.7
201801,15.4,-1.8
201802,14.9,-4.5
201803,27.4,-0.3
201804,30.6,-4.9
201805,50.8,4.6
201806,59.7,3.5
201807,62.7,0.5
201808,57.9,-2.4
201809,54.5,3.6
201810,36.2,-1.5
201811,24.5,-1.7
201812,19.6,2.1
201901,20.0,2.8
201902,12.2,-7.2
201903,23.7,-4.0
201904,35.3,-0.2
201905,42.4,-3.8
201906,54.1,-2.1
201907,62.7,0.5
201908,62.0,1.7
201909,55.7,4.8
201910,31.3,-6.4
201911,24.4,-1.8
