Rawlins County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,32.5,2.8
198902,23.3,-8.7
198903,39.2,-2.6
198904,52.5,2.2
198905,60.9,0.9
198906,66.3,-4.7
198907,76.1,-0.4
198908,73.2,-1.3
198909,63.3,-2.8
198910,53.4,0.5
198911,40.9,0.9
198912,24.8,-5.3
199001,31.8,2.1
199002,31.6,-0.4
199003,42.1,0.3
199004,51.5,1.2
199005,56.9,-3.1
199006,73.8,2.8
199007,74.8,-1.7
199008,74.6,0.1
199009,68.9,2.8
199010,53.1,0.2
199011,42.3,2.3
199012,25.1,-5.0
199101,25.5,-4.2
199102,39.3,7.3
199103,42.0,0.2
199104,51.2,0.9
199105,62.3,2.3
199106,73.3,2.3
199107,75.7,-0.8
199108,73.9,-0.6
199109,65.4,-0.7
199110,51.8,-1.1
199111,34.5,-5.5
199112,33.8,3.7
199201,30.9,1.2
199202,39.6,7.6
199203,44.6,2.8
199204,52.1,1.8
199205,61.0,1.0
199206,66.4,-4.6
199207,71.5,-5.0
199208,68.7,-5.8
199209,65.2,-0.9
199210,52.9,0.0
199211,34.1,-5.9
199212,23.8,-6.3
199301,21.7,-8.0
199302,22.5,-9.5
199303,39.2,-2.6
199304,47.3,-3.0
199305,59.3,-0.7
199306,67.8,-3.2
199307,72.9,-3.6
199308,71.6,-2.9
199309,59.2,-6.9
199310,51.0,-1.9
199311,33.9,-6.1
199312,33.3,3.2
199401,28.7,-1.0
199402,24.8,-7.2
199403,44.6,2.8
199404,50.3,0.0
199405,63.9,3.9
199406,74.1,3.1
199407,72.8,-3.7
199408,75.6,1.1
199409,66.5,0.4
199410,54.2,1.3
199411,38.8,-1.2
199412,33.6,3.5
199501,30.4,0.7
199502,38.1,6.1
199503,39.0,-2.8
199504,45.5,-4.8
199505,52.6,-7.4
199506,67.6,-3.4
199507,74.8,-1.7
199508,78.8,4.3
199509,63.8,-2.3
199510,51.4,-1.5
199511,41.8,1.8
199512,31.8,1.7
199601,25.6,-4.1
199602,34.2,2.2
199603,35.1,-6.7
199604,50.8,0.5
199605,58.8,-1.2
199606,70.6,-0.4
199607,74.4,-2.1
199608,72.2,-2.3
199609,62.0,-4.1
199610,53.1,0.2
199611,35.5,-4.5
199612,29.4,-0.7
199701,27.2,-2.5
199702,31.7,-0.3
199703,43.3,1.5
199704,45.1,-5.2
199705,57.7,-2.3
199706,70.5,-0.5
199707,76.4,-0.1
199708,73.4,-1.1
199709,67.6,1.5
199710,52.8,-0.1
199711,37.6,-2.4
199712,30.9,0.8
199801,31.0,1.3
199802,37.7,5.7
199803,36.9,-4.9
199804,48.4,-1.9
199805,63.3,3.3
199806,68.3,-2.7
199807,77.4,0.9
199808,74.8,0.3
199809,71.0,4.9
199810,53.9,1.0
199811,43.4,3.4
199812,31.2,1.1
199901,32.8,3.1
199902,40.2,8.2
199903,41.1,-0.7
199904,48.4,-1.9
199905,59.6,-0.4
199906,68.6,-2.4
199907,78.0,1.5
199908,73.8,-0.7
199909,62.4,-3.7
199910,53.3,0.4
199911,46.1,6.1
199912,35.9,5.8
200001,32.3,2.6
200002,38.1,6.1
200003,43.0,1.2
200004,51.3,1.0
200005,62.9,2.9
200006,70.2,-0.8
200007,78.1,1.6
200008,79.3,4.8
200009,67.0,0.9
200010,55.2,2.3
200011,30.5,-9.5
200012,26.4,-3.7
200101,30.8,1.1
200102,27.8,-4.2
200103,39.7,-2.1
200104,53.1,2.8
200105,61.0,1.0
200106,70.9,-0.1
200107,80.2,3.7
200108,76.2,1.7
200109,65.7,-0.4
200110,53.1,0.2
200111,44.4,4.4
200112,33.8,3.7
200201,31.9,2.2
200202,33.8,1.8
200203,34.1,-7.7
200204,52.2,1.9
200205,58.7,-1.3
200206,76.7,5.7
200207,79.7,3.2
200208,76.2,1.7
200209,66.3,0.2
200210,47.7,-5.2
200211,40.3,0.3
200212,34.5,4.4
200301,32.2,2.5
200302,28.6,-3.4
200303,42.6,0.8
200304,52.7,2.4
200305,60.3,0.3
200306,67.9,-3.1
200307,79.5,3.0
200308,77.4,2.9
200309,63.8,-2.3
200310,57.1,4.2
200311,38.2,-1.8
200312,32.9,2.8
200401,29.4,-0.3
200402,30.6,-1.4
200403,46.2,4.4
200404,51.0,0.7
200405,62.9,2.9
200406,67.7,-3.3
200407,73.1,-3.4
200408,70.6,-3.9
200409,68.4,2.3
200410,54.5,1.6
200411,40.1,0.1
200412,34.0,3.9
200501,28.9,-0.8
200502,37.1,5.1
200503,42.3,0.5
200504,50.5,0.2
200505,60.6,0.6
200506,71.4,0.4
200507,77.6,1.1
200508,74.9,0.4
200509,69.5,3.4
200510,54.1,1.2
200511,44.2,4.2
200512,29.8,-0.3
200601,39.4,9.7
200602,32.0,0.0
200603,40.9,-0.9
200604,54.2,3.9
200605,63.5,3.5
200606,74.0,3.0
200607,79.5,3.0
200608,75.4,0.9
200609,60.6,-5.5
200610,50.8,-2.1
200611,40.5,0.5
200612,31.6,1.5
200701,19.1,-10.6
200702,25.7,-6.3
200703,48.5,6.7
200704,47.6,-2.7
200705,62.9,2.9
200706,70.4,-0.6
200707,77.2,0.7
200708,78.8,4.3
200709,67.7,1.6
200710,55.2,2.3
200711,41.8,1.8
200712,25.0,-5.1
200801,26.3,-3.4
200802,32.0,0.0
200803,41.0,-0.8
200804,46.9,-3.4
200805,58.0,-2.0
200806,69.8,-1.2
200807,77.5,1.0
200808,73.1,-1.4
200809,64.2,-1.9
200810,53.2,0.3
200811,42.8,2.8
200812,27.3,-2.8
200901,31.9,2.2
200902,37.0,5.0
200903,40.5,-1.3
200904,48.2,-2.1
200905,60.2,0.2
200906,69.0,-2.0
200907,73.0,-3.5
200908,72.7,-1.8
200909,62.7,-3.4
200910,44.3,-8.6
200911,43.6,3.6
200912,22.9,-7.2
201001,29.1,-0.6
201002,28.6,-3.4
201003,41.6,-0.2
201004,52.6,2.3
201005,57.2,-2.8
201006,72.9,1.9
201007,76.9,0.4
201008,76.7,2.2
201009,67.0,0.9
201010,56.4,3.5
201011,39.3,-0.7
201012,31.1,1.0
201101,27.4,-2.3
201102,27.3,-4.7
201103,40.8,-1.0
201104,50.2,-0.1
201105,57.3,-2.7
201106,70.6,-0.4
201107,79.7,3.2
201108,77.2,2.7
201109,62.4,-3.7
201110,54.1,1.2
201111,40.2,0.2
201112,29.8,-0.3
201201,34.3,4.6
201202,33.0,1.0
201203,51.5,9.7
201204,55.9,5.6
201205,63.8,3.8
201206,76.6,5.6
201207,81.7,5.2
201208,75.0,0.5
201209,65.9,-0.2
201210,50.9,-2.0
201211,43.1,3.1
201212,29.5,-0.6
201301,29.1,-0.6
201302,32.1,0.1
201303,38.6,-3.2
201304,45.4,-4.9
201305,61.2,1.2
201306,72.4,1.4
201307,75.3,-1.2
201308,75.7,1.2
201309,70.4,4.3
201310,51.8,-1.1
201311,39.0,-1.0
201312,28.7,-1.4
201401,30.7,1.0
201402,25.1,-6.9
201403,40.7,-1.1
201404,50.9,0.6
201405,60.1,0.1
201406,70.2,-0.8
201407,74.7,-1.8
201408,75.8,1.3
201409,65.9,-0.2
201410,56.0,3.1
201411,37.3,-2.7
201412,30.8,0.7
201501,30.8,1.1
201502,33.1,1.1
201503,45.9,4.1
201504,52.6,2.3
201505,58.0,-2.0
201506,72.9,1.9
201507,76.2,-0.3
201508,74.2,-0.3
201509,72.1,6.0
201510,57.1,4.2
201511,40.1,0.1
201512,33.3,3.2
201601,32.2,2.5
201602,37.6,5.6
201603,46.3,4.5
201604,51.5,1.2
201605,58.0,-2.0
201606,74.6,3.6
201607,77.1,0.6
201608,72.9,-1.6
201609,66.9,0.8
201610,57.9,5.0
201611,45.9,5.9
201612,26.8,-3.3
201701,28.3,-1.4
201702,39.8,7.8
201703,46.2,4.4
201704,52.2,1.9
201705,58.3,-1.7
201706,72.5,1.5
201707,77.9,1.4
201708,71.4,-3.1
201709,67.2,1.1
201710,53.5,0.6
201711,43.2,3.2
201712,30.0,-0.1
201801,28.4,-1.3
201802,27.7,-4.3
201803,43.0,1.2
201804,45.1,-5.2
201805,64.8,4.8
201806,74.5,3.5
201807,75.7,-0.8
201808,72.3,-2.2
201809,68.6,2.5
201810,49.5,-3.4
201811,37.1,-2.9
201812,31.4,1.3
201901,31.1,1.4
201902,23.1,-8.9
201903,35.9,-5.9
201904,52.2,1.9
201905,54.8,-5.2
201906,69.1,-1.9
201907,77.0,0.5
201908,74.2,-0.3
201909,71.6,5.5
201910,47.3,-5.6
201911,38.6,-1.4
