Rawlins County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,48.4,5.8
198902,34.9,-10.1
198903,54.2,-2.0
198904,69.8,4.9
198905,75.2,1.1
198906,80.2,-5.4
198907,90.7,-0.2
198908,85.9,-2.4
198909,77.1,-3.8
198910,70.2,2.5
198911,56.7,2.9
198912,38.3,-4.4
199001,45.4,2.8
199002,41.8,-3.2
199003,54.8,-1.4
199004,65.0,0.1
199005,70.0,-4.1
199006,89.6,4.0
199007,89.1,-1.8
199008,88.9,0.6
199009,84.6,3.7
199010,68.7,1.0
199011,56.6,2.8
199012,36.9,-5.8
199101,37.1,-5.5
199102,56.9,11.9
199103,56.1,-0.1
199104,64.0,-0.9
199105,74.7,0.6
199106,86.4,0.8
199107,90.1,-0.8
199108,87.4,-0.9
199109,80.6,-0.3
199110,68.6,0.9
199111,45.4,-8.4
199112,44.6,1.9
199201,41.0,-1.6
199202,51.7,6.7
199203,58.4,2.2
199204,66.9,2.0
199205,76.5,2.4
199206,78.1,-7.5
199207,84.6,-6.3
199208,81.2,-7.1
199209,80.7,-0.2
199210,68.2,0.5
199211,43.7,-10.1
199212,34.8,-7.9
199301,30.7,-11.9
199302,32.2,-12.8
199303,50.8,-5.4
199304,59.1,-5.8
199305,72.3,-1.8
199306,82.6,-3.0
199307,85.5,-5.4
199308,83.8,-4.5
199309,73.2,-7.7
199310,64.8,-2.9
199311,47.0,-6.8
199312,46.0,3.3
199401,41.7,-0.9
199402,37.0,-8.0
199403,60.4,4.2
199404,65.0,0.1
199405,78.8,4.7
199406,89.1,3.5
199407,87.6,-3.3
199408,90.4,2.1
199409,81.8,0.9
199410,67.9,0.2
199411,50.3,-3.5
199412,45.0,2.3
199501,42.5,-0.1
199502,52.1,7.1
199503,51.8,-4.4
199504,58.7,-6.2
199505,62.6,-11.5
199506,81.2,-4.4
199507,89.7,-1.2
199508,94.4,6.1
199509,78.0,-2.9
199510,67.0,-0.7
199511,57.3,3.5
199512,46.3,3.6
199601,39.8,-2.8
199602,50.9,5.9
199603,50.3,-5.9
199604,67.9,3.0
199605,70.2,-3.9
199606,84.6,-1.0
199607,87.2,-3.7
199608,84.3,-4.0
199609,73.5,-7.4
199610,68.7,1.0
199611,47.6,-6.2
199612,44.0,1.3
199701,40.6,-2.0
199702,43.7,-1.3
199703,60.0,3.8
199704,59.3,-5.6
199705,72.9,-1.2
199706,84.9,-0.7
199707,92.0,1.1
199708,86.1,-2.2
199709,81.6,0.7
199710,66.8,-0.9
199711,50.0,-3.8
199712,39.3,-3.4
199801,42.5,-0.1
199802,47.5,2.5
199803,49.0,-7.2
199804,62.7,-2.2
199805,79.3,5.2
199806,84.1,-1.5
199807,90.8,-0.1
199808,88.4,0.1
199809,86.6,5.7
199810,67.4,-0.3
199811,54.3,0.5
199812,45.1,2.4
199901,45.9,3.3
199902,57.3,12.3
199903,55.1,-1.1
199904,61.2,-3.7
199905,73.8,-0.3
199906,82.0,-3.6
199907,92.3,1.4
199908,86.7,-1.6
199909,76.7,-4.2
199910,70.4,2.7
199911,63.6,9.8
199912,49.7,7.0
200001,45.8,3.2
200002,53.5,8.5
200003,55.5,-0.7
200004,69.1,4.2
200005,78.8,4.7
200006,86.6,1.0
200007,93.7,2.8
200008,95.4,7.1
200009,83.6,2.7
200010,69.4,1.7
200011,41.5,-12.3
200012,37.7,-5.0
200101,43.1,0.5
200102,36.5,-8.5
200103,50.2,-6.0
200104,67.8,2.9
200105,74.3,0.2
200106,86.1,0.5
200107,94.6,3.7
200108,91.6,3.3
200109,80.4,-0.5
200110,69.4,1.7
200111,59.4,5.6
200112,47.3,4.6
200201,46.4,3.8
200202,49.2,4.2
200203,49.0,-7.2
200204,68.8,3.9
200205,74.0,-0.1
200206,92.7,7.1
200207,95.5,4.6
200208,90.3,2.0
200209,81.1,0.2
200210,59.5,-8.2
200211,52.9,-0.9
200212,49.2,6.5
200301,46.8,4.2
200302,40.8,-4.2
200303,56.6,0.4
200304,67.1,2.2
200305,73.1,-1.0
200306,81.3,-4.3
200307,95.9,5.0
200308,92.6,4.3
200309,80.2,-0.7
200310,74.7,7.0
200311,50.3,-3.5
200312,46.8,4.1
200401,43.2,0.6
200402,43.9,-1.1
200403,61.8,5.6
200404,67.0,2.1
200405,78.8,4.7
200406,82.0,-3.6
200407,86.0,-4.9
200408,85.0,-3.3
200409,83.0,2.1
200410,66.9,-0.8
200411,51.0,-2.8
200412,46.6,3.9
200501,39.9,-2.7
200502,50.3,5.3
200503,56.2,0.0
200504,64.7,-0.2
200505,76.5,2.4
200506,85.5,-0.1
200507,93.4,2.5
200508,88.8,0.5
200509,85.0,4.1
200510,68.9,1.2
200511,59.3,5.5
200512,41.7,-1.0
200601,54.5,11.9
200602,46.7,1.7
200603,54.5,-1.7
200604,71.2,6.3
200605,79.8,5.7
200606,89.3,3.7
200607,94.4,3.5
200608,88.8,0.5
200609,75.3,-5.6
200610,64.2,-3.5
200611,55.4,1.6
200612,43.6,0.9
200701,29.9,-12.7
200702,35.2,-9.8
200703,62.0,5.8
200704,59.6,-5.3
200705,76.9,2.8
200706,84.7,-0.9
200707,91.2,0.3
200708,92.2,3.9
200709,82.9,2.0
200710,70.2,2.5
200711,58.6,4.8
200712,35.6,-7.1
200801,38.5,-4.1
200802,44.7,-0.3
200803,55.8,-0.4
200804,61.1,-3.8
200805,72.8,-1.3
200806,85.0,-0.6
200807,93.3,2.4
200808,85.0,-3.3
200809,79.1,-1.8
200810,67.1,-0.6
200811,55.9,2.1
200812,40.7,-2.0
200901,45.8,3.2
200902,52.7,7.7
200903,56.8,0.6
200904,61.4,-3.5
200905,72.9,-1.2
200906,81.7,-3.9
200907,86.5,-4.4
200908,86.5,-1.8
200909,75.5,-5.4
200910,55.2,-12.5
200911,57.4,3.6
200912,34.2,-8.5
201001,40.7,-1.9
201002,39.7,-5.3
201003,55.1,-1.1
201004,67.4,2.5
201005,70.9,-3.2
201006,87.3,1.7
201007,90.6,-0.3
201008,91.4,3.1
201009,83.7,2.8
201010,73.1,5.4
201011,53.8,0.0
201012,45.3,2.6
201101,41.1,-1.5
201102,41.6,-3.4
201103,55.0,-1.2
201104,64.7,-0.2
201105,71.9,-2.2
201106,85.8,0.2
201107,94.5,3.6
201108,91.3,3.0
201109,78.1,-2.8
201110,69.4,1.7
201111,56.0,2.2
201112,42.4,-0.3
201201,49.8,7.2
201202,45.3,0.3
201203,69.4,13.2
201204,69.9,5.0
201205,81.0,6.9
201206,93.8,8.2
201207,97.9,7.0
201208,91.5,3.2
201209,84.0,3.1
201210,65.9,-1.8
201211,61.8,8.0
201212,44.0,1.3
201301,42.4,-0.2
201302,45.6,0.6
201303,52.9,-3.3
201304,59.7,-5.2
201305,75.8,1.7
201306,88.9,3.3
201307,89.7,-1.2
201308,88.6,0.3
201309,84.6,3.7
201310,65.2,-2.5
201311,53.0,-0.8
201312,43.4,0.7
201401,45.6,3.0
201402,36.4,-8.6
201403,56.1,-0.1
201404,65.8,0.9
201405,74.9,0.8
201406,83.8,-1.8
201407,88.6,-2.3
201408,90.5,2.2
201409,79.4,-1.5
201410,72.7,5.0
201411,53.0,-0.8
201412,42.5,-0.2
201501,43.8,1.2
201502,47.1,2.1
201503,63.3,7.1
201504,67.3,2.4
201505,69.4,-4.7
201506,86.4,0.8
201507,90.6,-0.3
201508,88.9,0.6
201509,87.5,6.6
201510,71.0,3.3
201511,52.6,-1.2
201512,43.8,1.1
201601,44.6,2.0
201602,50.2,5.2
201603,63.2,7.0
201604,65.6,0.7
201605,70.9,-3.2
201606,90.0,4.4
201607,90.6,-0.3
201608,86.1,-2.2
201609,81.5,0.6
201610,75.1,7.4
201611,61.8,8.0
201612,40.6,-2.1
201701,38.9,-3.7
201702,55.4,10.4
201703,62.4,6.2
201704,65.5,0.6
201705,72.1,-2.0
201706,87.8,2.2
201707,92.1,1.2
201708,84.5,-3.8
201709,81.9,1.0
201710,67.6,-0.1
201711,57.1,3.3
201712,43.6,0.9
201801,42.6,0.0
201802,40.4,-4.6
201803,59.1,2.9
201804,60.4,-4.5
201805,78.9,4.8
201806,89.1,3.5
201807,88.8,-2.1
201808,85.8,-2.5
201809,81.2,0.3
201810,61.5,-6.2
201811,49.9,-3.9
201812,43.2,0.5
201901,42.2,-0.4
201902,33.8,-11.2
201903,47.4,-8.8
201904,68.1,3.2
201905,67.0,-7.1
201906,83.6,-2.0
201907,91.2,0.3
201908,86.4,-1.9
201909,85.7,4.8
201910,62.7,-5.0
201911,53.3,-0.5
