Sherman County, Kansas, Precipitation
Units: Inches
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,0.21,-0.16
198902,0.15,-0.32
198903,0.24,-0.62
198904,0.90,-0.86
198905,3.00,0.22
198906,6.27,3.39
198907,1.29,-1.80
198908,2.05,-0.80
198909,1.36,-0.10
198910,0.33,-1.04
198911,0.02,-0.56
198912,0.21,-0.20
199001,0.82,0.45
199002,0.56,0.09
199003,1.65,0.79
199004,1.01,-0.75
199005,4.37,1.59
199006,1.26,-1.62
199007,3.77,0.68
199008,2.05,-0.80
199009,1.44,-0.02
199010,1.03,-0.34
199011,1.24,0.66
199012,0.17,-0.24
199101,0.19,-0.18
199102,0.10,-0.37
199103,1.06,0.20
199104,1.30,-0.46
199105,3.97,1.19
199106,5.08,2.20
199107,3.93,0.84
199108,2.65,-0.20
199109,0.81,-0.65
199110,0.82,-0.55
199111,1.60,1.02
199112,1.05,0.64
199201,0.66,0.29
199202,0.69,0.22
199203,1.69,0.83
199204,0.05,-1.71
199205,1.34,-1.44
199206,4.85,1.97
199207,4.58,1.49
199208,4.91,2.06
199209,0.49,-0.97
199210,0.90,-0.47
199211,0.70,0.12
199212,0.24,-0.17
199301,0.46,0.09
199302,1.03,0.56
199303,0.88,0.02
199304,0.69,-1.07
199305,2.87,0.09
199306,1.41,-1.47
199307,6.54,3.45
199308,6.88,4.03
199309,0.43,-1.03
199310,2.15,0.78
199311,0.86,0.28
199312,0.08,-0.33
199401,0.53,0.16
199402,0.14,-0.33
199403,0.23,-0.63
199404,3.07,1.31
199405,1.25,-1.53
199406,2.45,-0.43
199407,2.98,-0.11
199408,1.44,-1.41
199409,0.43,-1.03
199410,2.00,0.63
199411,1.29,0.71
199412,0.46,0.05
199501,0.47,0.10
199502,0.33,-0.14
199503,1.20,0.34
199504,2.51,0.75
199505,5.36,2.58
199506,3.39,0.51
199507,3.51,0.42
199508,0.81,-2.04
199509,1.51,0.05
199510,0.67,-0.70
199511,0.31,-0.27
199512,0.05,-0.36
199601,0.41,0.04
199602,0.08,-0.39
199603,0.31,-0.55
199604,1.02,-0.74
199605,4.96,2.18
199606,2.05,-0.83
199607,4.87,1.78
199608,3.55,0.70
199609,1.73,0.27
199610,0.24,-1.13
199611,0.18,-0.40
199612,0.04,-0.37
199701,0.15,-0.22
199702,0.89,0.42
199703,0.00,-0.86
199704,0.87,-0.89
199705,1.44,-1.34
199706,2.66,-0.22
199707,3.01,-0.08
199708,4.51,1.66
199709,0.94,-0.52
199710,2.67,1.30
199711,0.58,0.00
199712,0.59,0.18
199801,0.07,-0.30
199802,0.83,0.36
199803,0.25,-0.61
199804,0.94,-0.82
199805,2.15,-0.63
199806,1.39,-1.49
199807,7.01,3.92
199808,2.40,-0.45
199809,0.55,-0.91
199810,1.51,0.14
199811,1.83,1.25
199812,0.09,-0.32
199901,0.34,-0.03
199902,0.09,-0.38
199903,0.91,0.05
199904,3.37,1.61
199905,2.45,-0.33
199906,4.43,1.55
199907,1.56,-1.53
199908,5.80,2.95
199909,1.12,-0.34
199910,0.11,-1.26
199911,0.15,-0.43
199912,0.31,-0.10
200001,0.25,-0.12
200002,0.54,0.07
200003,2.39,1.53
200004,1.36,-0.40
200005,0.52,-2.26
200006,1.87,-1.01
200007,3.03,-0.06
200008,1.81,-1.04
200009,1.02,-0.44
200010,3.93,2.56
200011,0.54,-0.04
200012,0.10,-0.31
200101,1.08,0.71
200102,0.47,0.00
200103,0.49,-0.37
200104,0.86,-0.90
200105,3.34,0.56
200106,0.89,-1.99
200107,4.81,1.72
200108,1.34,-1.51
200109,1.97,0.51
200110,0.49,-0.88
200111,0.82,0.24
200112,0.47,0.06
200201,0.31,-0.06
200202,0.21,-0.26
200203,0.41,-0.45
200204,0.85,-0.91
200205,0.92,-1.86
200206,1.77,-1.11
200207,0.41,-2.68
200208,2.37,-0.48
200209,1.47,0.01
200210,1.60,0.23
200211,0.09,-0.49
200212,0.00,-0.41
200301,0.23,-0.14
200302,0.54,0.07
200303,1.30,0.44
200304,2.08,0.32
200305,2.48,-0.30
200306,5.30,2.42
200307,1.10,-1.99
200308,1.12,-1.73
200309,0.48,-0.98
200310,0.12,-1.25
200311,0.12,-0.46
200312,0.36,-0.05
200401,0.09,-0.28
200402,0.65,0.18
200403,0.62,-0.24
200404,2.92,1.16
200405,0.87,-1.91
200406,3.26,0.38
200407,4.33,1.24
200408,1.38,-1.47
200409,2.93,1.47
200410,1.40,0.03
200411,1.96,1.38
200412,0.15,-0.26
200501,0.16,-0.21
200502,0.26,-0.21
200503,0.55,-0.31
200504,2.08,0.32
200505,2.63,-0.15
200506,3.31,0.43
200507,1.80,-1.29
200508,3.39,0.54
200509,0.54,-0.92
200510,2.80,1.43
200511,0.55,-0.03
200512,0.13,-0.28
200601,0.47,0.10
200602,0.05,-0.42
200603,0.95,0.09
200604,0.53,-1.23
200605,1.76,-1.02
200606,3.43,0.55
200607,1.70,-1.39
200608,3.65,0.80
200609,1.44,-0.02
200610,2.52,1.15
200611,0.05,-0.53
200612,2.12,1.71
200701,0.63,0.26
200702,0.44,-0.03
200703,1.73,0.87
200704,2.74,0.98
200705,1.17,-1.61
200706,1.34,-1.54
200707,1.84,-1.25
200708,3.54,0.69
200709,1.18,-0.28
200710,0.50,-0.87
200711,0.14,-0.44
200712,0.98,0.57
200801,0.09,-0.28
200802,0.41,-0.06
200803,0.36,-0.50
200804,1.33,-0.43
200805,1.52,-1.26
200806,1.23,-1.65
200807,3.02,-0.07
200808,4.86,2.01
200809,1.78,0.32
200810,3.78,2.41
200811,0.61,0.03
200812,0.24,-0.17
200901,0.12,-0.25
200902,0.55,0.08
200903,0.46,-0.40
200904,2.46,0.70
200905,2.88,0.10
200906,3.49,0.61
200907,3.93,0.84
200908,2.32,-0.53
200909,2.98,1.52
200910,3.08,1.71
200911,0.50,-0.08
200912,0.47,0.06
201001,0.15,-0.22
201002,0.45,-0.02
201003,1.79,0.93
201004,2.55,0.79
201005,2.49,-0.29
201006,2.78,-0.10
201007,3.10,0.01
201008,2.69,-0.16
201009,1.34,-0.12
201010,0.27,-1.10
201011,0.19,-0.39
201012,0.19,-0.22
201101,0.38,0.01
201102,0.45,-0.02
201103,0.64,-0.22
201104,2.18,0.42
201105,3.90,1.12
201106,2.42,-0.46
201107,3.47,0.38
201108,3.18,0.33
201109,0.75,-0.71
201110,2.15,0.78
201111,0.33,-0.25
201112,0.41,0.00
201201,0.06,-0.31
201202,0.47,0.00
201203,0.61,-0.25
201204,3.05,1.29
201205,0.46,-2.32
201206,1.15,-1.73
201207,1.71,-1.38
201208,0.89,-1.96
201209,0.68,-0.78
201210,0.42,-0.95
201211,0.00,-0.58
201212,0.56,0.15
201301,0.11,-0.26
201302,0.70,0.23
201303,1.18,0.32
201304,0.74,-1.02
201305,1.70,-1.08
201306,2.17,-0.71
201307,1.47,-1.62
201308,1.64,-1.21
201309,5.17,3.71
201310,1.16,-0.21
201311,0.23,-0.35
201312,0.05,-0.36
201401,0.49,0.12
201402,0.49,0.02
201403,0.31,-0.55
201404,0.56,-1.20
201405,2.00,-0.78
201406,5.24,2.36
201407,2.26,-0.83
201408,3.21,0.36
201409,1.89,0.43
201410,0.52,-0.85
201411,0.04,-0.54
201412,1.50,1.09
201501,0.25,-0.12
201502,0.73,0.26
201503,0.15,-0.71
201504,3.94,2.18
201505,6.40,3.62
201506,2.23,-0.65
201507,3.11,0.02
201508,0.79,-2.06
201509,1.06,-0.40
201510,1.65,0.28
201511,1.67,1.09
201512,0.18,-0.23
201601,0.03,-0.34
201602,0.96,0.49
201603,0.49,-0.37
201604,4.45,2.69
201605,1.92,-0.86
201606,1.99,-0.89
201607,3.55,0.46
201608,1.88,-0.97
201609,2.77,1.31
201610,0.04,-1.33
201611,0.26,-0.32
201612,0.46,0.05
201701,0.93,0.56
201702,0.03,-0.44
201703,1.81,0.95
201704,2.08,0.32
201705,7.04,4.26
201706,3.79,0.91
201707,3.30,0.21
201708,2.43,-0.42
201709,3.46,2.00
201710,0.52,-0.85
201711,0.07,-0.51
201712,0.10,-0.31
201801,0.90,0.53
201802,0.56,0.09
201803,0.55,-0.31
201804,1.52,-0.24
201805,4.61,1.83
201806,3.81,0.93
201807,2.69,-0.40
201808,1.54,-1.31
201809,1.01,-0.45
201810,2.79,1.42
201811,0.64,0.06
201812,0.56,0.15
201901,0.42,0.05
201902,0.63,0.16
201903,1.32,0.46
201904,0.46,-1.30
201905,4.54,1.76
201906,2.70,-0.18
201907,1.96,-1.13
201908,7.30,4.45
201909,0.62,-0.84
201910,0.32,-1.05
201911,0.53,-0.05
