Thomas County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,32.5,2.5
198902,23.6,-8.7
198903,40.5,-1.4
198904,52.7,2.3
198905,61.1,0.8
198906,66.1,-5.2
198907,75.4,-1.2
198908,72.7,-1.6
198909,63.0,-3.1
198910,53.2,0.1
198911,40.6,0.5
198912,25.4,-5.0
199001,31.8,1.8
199002,31.9,-0.4
199003,42.2,0.3
199004,51.1,0.7
199005,57.4,-2.9
199006,74.7,3.4
199007,74.8,-1.8
199008,74.7,0.4
199009,68.8,2.7
199010,53.6,0.5
199011,43.3,3.2
199012,24.7,-5.7
199101,25.1,-4.9
199102,39.3,7.0
199103,41.9,0.0
199104,51.1,0.7
199105,63.0,2.7
199106,73.3,2.0
199107,76.0,-0.6
199108,73.4,-0.9
199109,65.4,-0.7
199110,52.2,-0.9
199111,34.4,-5.7
199112,33.4,3.0
199201,32.5,2.5
199202,39.8,7.5
199203,44.8,2.9
199204,52.2,1.8
199205,61.0,0.7
199206,66.2,-5.1
199207,71.7,-4.9
199208,68.5,-5.8
199209,65.0,-1.1
199210,53.0,-0.1
199211,33.5,-6.6
199212,22.7,-7.7
199301,21.0,-9.0
199302,22.8,-9.5
199303,38.5,-3.4
199304,47.0,-3.4
199305,59.2,-1.1
199306,68.3,-3.0
199307,73.0,-3.6
199308,71.9,-2.4
199309,59.4,-6.7
199310,51.1,-2.0
199311,34.6,-5.5
199312,33.6,3.2
199401,28.9,-1.1
199402,25.7,-6.6
199403,44.6,2.7
199404,50.1,-0.3
199405,63.5,3.2
199406,73.9,2.6
199407,73.1,-3.5
199408,75.7,1.4
199409,66.8,0.7
199410,53.9,0.8
199411,38.7,-1.4
199412,34.0,3.6
199501,31.2,1.2
199502,38.2,5.9
199503,39.0,-2.9
199504,45.6,-4.8
199505,52.4,-7.9
199506,67.2,-4.1
199507,74.8,-1.8
199508,78.5,4.2
199509,63.6,-2.5
199510,51.7,-1.4
199511,41.8,1.7
199512,31.7,1.3
199601,25.6,-4.4
199602,34.4,2.1
199603,34.8,-7.1
199604,50.6,0.2
199605,59.3,-1.0
199606,70.8,-0.5
199607,74.5,-2.1
199608,71.4,-2.9
199609,61.8,-4.3
199610,53.4,0.3
199611,35.3,-4.8
199612,30.6,0.2
199701,27.4,-2.6
199702,31.4,-0.9
199703,43.6,1.7
199704,44.9,-5.5
199705,57.8,-2.5
199706,70.1,-1.2
199707,76.1,-0.5
199708,72.6,-1.7
199709,67.5,1.4
199710,52.6,-0.5
199711,37.0,-3.1
199712,30.4,0.0
199801,31.6,1.6
199802,37.6,5.3
199803,36.6,-5.3
199804,48.2,-2.2
199805,63.5,3.2
199806,68.8,-2.5
199807,77.3,0.7
199808,74.6,0.3
199809,70.8,4.7
199810,54.8,1.7
199811,43.8,3.7
199812,31.5,1.1
199901,32.9,2.9
199902,40.5,8.2
199903,40.7,-1.2
199904,48.2,-2.2
199905,59.9,-0.4
199906,68.6,-2.7
199907,78.2,1.6
199908,74.1,-0.2
199909,62.6,-3.5
199910,53.1,0.0
199911,46.7,6.6
199912,35.6,5.2
200001,32.6,2.6
200002,39.0,6.7
200003,42.7,0.8
200004,51.1,0.7
200005,62.9,2.6
200006,70.0,-1.3
200007,77.8,1.2
200008,78.8,4.5
200009,66.9,0.8
200010,55.1,2.0
200011,30.5,-9.6
200012,26.6,-3.8
200101,30.0,0.0
200102,28.1,-4.2
200103,39.7,-2.2
200104,53.4,3.0
200105,61.0,0.7
200106,71.1,-0.2
200107,80.6,4.0
200108,75.6,1.3
200109,65.7,-0.4
200110,52.8,-0.3
200111,44.5,4.4
200112,34.1,3.7
200201,32.1,2.1
200202,33.7,1.4
200203,34.5,-7.4
200204,52.8,2.4
200205,59.1,-1.2
200206,76.8,5.5
200207,79.2,2.6
200208,75.5,1.2
200209,66.0,-0.1
200210,47.4,-5.7
200211,40.5,0.4
200212,34.7,4.3
200301,32.7,2.7
200302,29.3,-3.0
200303,42.5,0.6
200304,52.9,2.5
200305,60.5,0.2
200306,68.2,-3.1
200307,80.3,3.7
200308,77.2,2.9
200309,64.2,-1.9
200310,57.2,4.1
200311,38.0,-2.1
200312,33.6,3.2
200401,30.4,0.4
200402,31.1,-1.2
200403,46.7,4.8
200404,51.6,1.2
200405,63.2,2.9
200406,68.1,-3.2
200407,73.5,-3.1
200408,70.6,-3.7
200409,68.4,2.3
200410,54.8,1.7
200411,40.2,0.1
200412,34.4,4.0
200501,29.5,-0.5
200502,37.0,4.7
200503,42.4,0.5
200504,50.3,-0.1
200505,60.7,0.4
200506,71.3,0.0
200507,77.4,0.8
200508,74.5,0.2
200509,69.0,2.9
200510,54.8,1.7
200511,44.2,4.1
200512,30.4,0.0
200601,39.2,9.2
200602,32.3,0.0
200603,41.7,-0.2
200604,54.4,4.0
200605,63.3,3.0
200606,73.8,2.5
200607,79.0,2.4
200608,75.2,0.9
200609,60.7,-5.4
200610,51.3,-1.8
200611,40.7,0.6
200612,31.4,1.0
200701,18.7,-11.3
200702,25.0,-7.3
200703,48.3,6.4
200704,47.6,-2.8
200705,63.1,2.8
200706,70.3,-1.0
200707,76.9,0.3
200708,79.0,4.7
200709,68.0,1.9
200710,55.7,2.6
200711,41.6,1.5
200712,27.2,-3.2
200801,27.9,-2.1
200802,32.0,-0.3
200803,41.4,-0.5
200804,47.3,-3.1
200805,58.8,-1.5
200806,70.3,-1.0
200807,77.6,1.0
200808,72.8,-1.5
200809,64.3,-1.8
200810,53.0,-0.1
200811,43.0,2.9
200812,27.6,-2.8
200901,32.2,2.2
200902,37.9,5.6
200903,40.9,-1.0
200904,48.4,-2.0
200905,60.3,0.0
200906,69.6,-1.7
200907,73.6,-3.0
200908,72.6,-1.7
200909,62.6,-3.5
200910,44.7,-8.4
200911,44.2,4.1
200912,23.9,-6.5
201001,29.6,-0.4
201002,29.3,-3.0
201003,42.0,0.1
201004,52.5,2.1
201005,57.2,-3.1
201006,73.4,2.1
201007,77.2,0.6
201008,76.4,2.1
201009,67.9,1.8
201010,56.5,3.4
201011,39.4,-0.7
201012,31.6,1.2
201101,27.8,-2.2
201102,27.6,-4.7
201103,40.5,-1.4
201104,51.2,0.8
201105,58.3,-2.0
201106,72.0,0.7
201107,80.5,3.9
201108,77.4,3.1
201109,62.5,-3.6
201110,54.2,1.1
201111,40.2,0.1
201112,29.6,-0.8
201201,34.7,4.7
201202,33.9,1.6
201203,51.2,9.3
201204,55.9,5.5
201205,64.5,4.2
201206,77.2,5.9
201207,81.3,4.7
201208,74.7,0.4
201209,65.7,-0.4
201210,50.9,-2.2
201211,43.8,3.7
201212,30.0,-0.4
201301,29.8,-0.2
201302,31.9,-0.4
201303,38.5,-3.4
201304,45.4,-5.0
201305,61.7,1.4
201306,73.2,1.9
201307,75.3,-1.3
201308,75.2,0.9
201309,70.2,4.1
201310,51.8,-1.3
201311,39.1,-1.0
201312,29.3,-1.1
201401,30.3,0.3
201402,25.8,-6.5
201403,40.2,-1.7
201404,51.0,0.6
201405,60.6,0.3
201406,70.2,-1.1
201407,74.9,-1.7
201408,75.6,1.3
201409,66.2,0.1
201410,56.0,2.9
201411,37.3,-2.8
201412,31.0,0.6
201501,31.2,1.2
201502,33.3,1.0
201503,45.8,3.9
201504,53.1,2.7
201505,58.3,-2.0
201506,74.0,2.7
201507,76.8,0.2
201508,74.2,-0.1
201509,72.1,6.0
201510,57.3,4.2
201511,40.0,-0.1
201512,34.0,3.6
201601,32.5,2.5
201602,38.0,5.7
201603,46.5,4.6
201604,52.0,1.6
201605,58.7,-1.6
201606,75.3,4.0
201607,77.3,0.7
201608,72.8,-1.5
201609,67.6,1.5
201610,58.1,5.0
201611,45.7,5.6
201612,26.2,-4.2
201701,29.1,-0.9
201702,40.3,8.0
201703,46.1,4.2
201704,52.2,1.8
201705,58.6,-1.7
201706,72.9,1.6
201707,77.9,1.3
201708,71.3,-3.0
201709,66.9,0.8
201710,53.9,0.8
201711,43.0,2.9
201712,30.1,-0.3
201801,29.6,-0.4
201802,28.3,-4.0
201803,43.4,1.5
201804,45.8,-4.6
201805,65.9,5.6
201806,75.5,4.2
201807,76.2,-0.4
201808,72.6,-1.7
201809,68.3,2.2
201810,49.2,-3.9
201811,37.0,-3.1
201812,32.2,1.8
201901,30.9,0.9
201902,23.8,-8.5
201903,36.1,-5.8
201904,52.8,2.4
201905,55.5,-4.8
201906,69.8,-1.5
201907,77.5,0.9
201908,74.7,0.4
201909,72.2,6.1
201910,47.5,-5.6
201911,39.2,-0.9
